,Bihar_s(t),Bihar_e(t),Bihar_i(t),Bihar_r(t),UttarPradesh_s(t),UttarPradesh_e(t),UttarPradesh_i(t),UttarPradesh_r(t),Haryana_s(t),Haryana_e(t),Haryana_i(t),Haryana_r(t),MadhyaPradesh_s(t),MadhyaPradesh_e(t),MadhyaPradesh_i(t),MadhyaPradesh_r(t)
0,1.0,8.870967741935484e-08,3.2258064516129035e-08,0.0,1.0,1.3080168776371308e-07,1.6033755274261603e-07,0.0,1.0,1.7241379310344828e-07,1.0689655172413794e-06,0.0,1.0,2.823529411764706e-07,1.764705882352941e-07,0.0
1,0.9999999827855509,8.826813208925372e-08,4.075743696041564e-08,9.156621898089958e-09,0.9999999339654462,1.6694564465794996e-07,1.5138429321408843e-07,3.884385645657621e-08,0.9999996048524125,4.990079138058162e-07,8.936006739495372e-07,2.439183102221521e-07,0.9999999287982871,2.957627560262712e-07,1.8862036102095506e-07,4.5642125376415515e-08
2,0.9999999619806412,9.116234558463884e-08,4.760169144994527e-08,2.0223063452386138e-08,0.9999998700692446,1.946022293701972e-07,1.5003790542872465e-07,7.642986101278594e-08,0.9999992625616215,7.185036430709331e-07,8.051050050106067e-07,4.552090406787505e-07,0.9999998528910763,3.110088839087045e-07,2.0062297010588429e-07,9.430059912725135e-08
3,0.9999999381585348,9.625273256525636e-08,5.366207704918931e-08,3.289439730477088e-08,0.9999998056406928,2.1775134232488123e-07,1.5341819003837232e-07,1.1432901537780733e-07,0.9999989445211225,8.765758761836824e-07,7.687517996781622e-07,6.515305119086957e-07,0.9999997722593269,3.2776247315159427e-07,2.128141016864738e-07,1.4598762780539362e-07
4,0.9999999115364891,1.0297900338273993e-07,5.93971882904488e-08,4.70550610312839e-08,0.9999997391758039,2.384922409302213e-07,1.6004517792052852e-07,1.5342601780095004e-07,0.9999986353357352,9.972675464822739e-07,7.663901076732205e-07,8.423859208510354e-07,0.9999996867913902,3.458720593142626e-07,2.2538529841744076e-07,2.007747816264759e-07
5,0.9999998822145687,1.1093532424534221e-07,6.516602004220771e-08,6.265182882622776e-08,0.9999996694325276,2.5844799831731255e-07,1.6880722798660506e-07,1.9445148662405257e-07,0.9999983229248556,1.099005743399647e-06,7.842162740152557e-07,1.0352324372504241e-06,0.9999995963170987,3.652402335023931e-07,2.3849505414116876e-07,2.587711431975975e-07
6,0.9999998501434679,1.1993343710757646e-07,7.117990954387814e-08,7.971092732726013e-08,0.9999995955767789,2.7854802101215395e-07,1.791183799131153e-07,2.3789606072794634e-07,0.9999980000789804,1.1921187410221517e-06,8.14661206767991e-07,1.234520382052883e-06,0.9999995006094762,3.8584129799413775e-07,2.5225054425448566e-07,3.2012221100511244e-07
7,0.9999998151733792,1.2992295068866682e-07,7.75593705283505e-08,9.831204147246499e-08,0.9999995170209913,2.9928982790729144e-07,1.9072305317553994e-07,2.84105368064238e-07,0.9999976626162318,1.2818628468860734e-06,8.54069057938924e-07,1.442831173711428e-06,0.9999993993996784,4.076959372732133e-07,2.667275915062208e-07,3.8500032237324964e-07
8,0.9999997771033208,1.4091023260930085e-07,8.439211180680699e-08,1.1856207669619297e-07,0.999999433262934,3.209994724929398e-07,2.0350199451823807e-07,3.333748395395679e-07,0.999997307567101,1.3713997463765367e-06,9.004146065359176e-07,1.6619978563623715e-06,0.9999992923910053,4.3084662772790154e-07,2.819902258916616e-07,4.535956706427119e-07
9,0.9999997356977609,1.5292940237256557e-07,9.175426258738629e-08,1.4058631610090248e-07,0.9999993438247183,3.4392835788583564e-07,2.1740057742652506e-07,3.859855869153498e-07,0.9999969324904205,1.4629133918503832e-06,9.524481579486194e-07,1.893527339917955e-06,0.9999991792634169,4.553485049851636e-07,2.980981966058603e-07,5.261134110931984e-07
10,0.9999996906855315,1.660369163096065e-07,9.971629589541143e-08,1.6452899816941289e-07,0.9999992482293224,3.6828197456861854e-07,2.3240973111966885e-07,4.422182125051311e-07,0.9999965352481994,1.557949165979426e-06,1.0094425541576786e-06,2.138739390686735e-06,0.9999990596699934,4.812675717613489e-07,3.151100346400974e-07,6.027759297122768e-07
11,0.9999996417778064,1.8030349688079292e-07,1.083426843433946e-07,1.9054375432385672e-07,0.999999146015065,3.9422830898307783e-07,2.485515719134915e-07,5.023442946961218e-07,0.9999961139741125,1.6575765326420696e-06,1.0710425835334764e-06,2.3987860815538253e-06,0.9999989332578828,5.086747467328038e-07,3.330814845043248e-07,6.838094154626293e-07
12,0.999999588647539,1.9581616310053005e-07,1.1769949403047112e-07,2.1880454572121782e-07,0.9999990366917851,4.2192397484535315e-07,2.6587131561285665e-07,5.666521649402799e-07,0.9999956668323936,1.762631495988096e-06,1.1371147955170752e-06,2.6748006251022985e-06,0.9999987996420904,5.376499027343929e-07,3.520708746367157e-07,7.694606617619041e-07
13,0.9999995309251388,2.1267822863189103e-07,1.2785641077695776e-07,2.495079636700086e-07,0.9999989197324174,4.515206990134611e-07,2.844342606202513e-07,6.354518635696392e-07,0.9999951919666783,1.8737803796731039e-06,1.207703299394462e-06,2.9679289529459363e-06,0.9999986584027418,5.682820143936669e-07,3.721399522336129e-07,8.59998821036482e-07
14,0.9999994682095603,2.3100440953990425e-07,1.3888644131869665e-07,2.8286733069683785e-07,0.9999987945831391,4.831684995527219e-07,3.0431843140449957e-07,7.090691704840541e-07,0.9999946874993364,1.9915888041118106e-06,1.2829610428432642e-06,3.2793301268567864e-06,0.9999985090976545,6.006658359175727e-07,3.933526927755603e-07,9.557073462089298e-07
15,0.9999994000605564,2.5092157411425926e-07,1.5086878982697674e-07,3.191168214761987e-07,0.9999986606507345,5.17024481192499e-07,3.256109862595574e-07,7.878530385817296e-07,0.9999941514595191,2.1166072145568643e-06,1.3630918202994108e-06,3.6102207562688848e-06,0.999998351257863,6.349022667132169e-07,4.157765406178468e-07,1.0568868592161474e-06
16,0.9999993260913703,2.725416392472105e-07,1.638725739437541e-07,3.584621584067505e-07,0.9999985174215272,5.532229274038112e-07,3.483891533939608e-07,8.721056326553092e-07,0.9999935821606375,2.249285297265368e-06,1.4482913975120445e-06,3.961641977909948e-06,0.9999981844797358,6.710783459759967e-07,4.394693471746333e-07,1.1637961005673772e-06
